,year,BCpc_Canada,BCtot_Canada,EFCpc_Canada,EFCtot_Canada,earth_Canada,BCpc_World,BCtot_World,EFCpc_World,EFCtot_World,earth_World,od_world,od_can_pc,odate_world,odate_can
0,1961,26.2692935839623,480843667.739723,7.38635827861269,135202859.360334,2.3705650076715408,3.11586404705596,9628985823.2575,2.281760499406461,7051336450.558408,0.7323042549184371,499.7930301614181,154.39357234058693,1901-05-15 19:01:57.805947,1900-06-04 09:26:44.650227
1,1962,26.6168082281912,496898535.69162,8.82152494502409,164685517.142769,2.867392291793368,3.07649740507142,9688628687.9471,2.3132996182367056,7285145521.25914,0.751926399945396,486.7491101503424,127.64210919012086,1901-05-02 17:58:43.116990,1900-05-08 15:24:38.234026
2,1963,26.5705563914623,505284278.971274,9.32159300412165,177265930.398986,3.0896344161487694,3.01705371852409,9685557040.96633,2.3575572297515732,7568398194.90112,0.7814104254348061,468.38363755515775,118.46061724552486,1901-04-14 09:12:26.284766,1900-04-29 11:03:17.330013
3,1964,25.5894687751452,495391623.920018,8.73815015605306,169163589.674383,2.9381620844674323,2.97401909930266,9735957104.81415,2.408930706226701,7886045991.751194,0.809991673150835,451.8563934434639,124.56766831716185,1901-03-28 20:33:12.393515,1900-05-05 13:37:26.542603
4,1965,25.5089706308606,502626216.377856,9.26673386197519,182590800.962791,3.171051485791259,2.92229057254266,9759252373.15776,2.448154015546633,8175837401.202923,0.8377517412365039,436.8832442839682,115.41912884100448,1901-03-13 21:11:52.306135,1900-04-26 10:03:32.731863
5,1966,25.4194861360372,509711535.999818,9.65003241002526,193502449.885827,3.3359572232382506,2.89273265940079,9858780031.15702,2.5026254827138947,8529251714.085103,0.8651423333507413,423.0515890913085,109.71363704859493,1901-02-28 01:14:17.297489,1900-04-20 17:07:38.240999
6,1967,24.3557416569183,496883911.602995,9.50738666021014,193961142.27979,3.3378951325153285,2.84831796169872,9909440604.64793,2.5200745401832587,8767474779.304092,0.8847588556020274,413.6715933146967,109.64993969843337,1901-02-18 16:07:05.662390,1900-04-20 15:35:54.789945
7,1968,24.1233899504333,500594123.64062,9.39884650299276,195039226.993628,3.3573031511881735,2.79952273587997,9943568815.11736,2.5650718322678583,9110829263.399435,0.9162532596691282,399.45279195969033,109.01607138767615,1901-02-04 10:52:01.225317,1900-04-20 00:23:08.567895
8,1969,23.8727573147903,503767680.757576,9.97265427390324,210444937.227625,3.6321088387251312,2.74569257605277,9955634168.43549,2.620499997399825,9501685353.322012,0.9544040073004376,383.4858733112484,100.76790543767567,1901-01-19 11:39:39.454092,1900-04-11 18:25:47.029815
9,1970,23.1232910641317,496057008.146427,9.22000846659989,197794068.428296,3.4064215572573557,2.7066551545732,10016193931.9105,2.7222266348737967,10073811315.471346,1.0057530344322907,363.90665501637073,107.44412981424442,1900-12-30 21:45:34.993414,1900-04-18 10:39:32.815951
10,1971,23.177913450696,505378196.360756,9.38084828346577,204542837.55596,3.5078166046080907,2.67426987806104,10097481462.8841,2.7593209867714297,10418619347.962683,1.0318034875268667,354.7186140492075,104.33840797697323,1900-12-21 17:14:48.253852,1900-04-15 08:07:18.449210
11,1972,22.6097131641344,500945309.143356,9.24487817433063,204831362.583543,3.5421858315729624,2.60993595873125,10052298841.8513,2.7763825317811337,10693362952.4646,1.0637741981725855,344.0584026253041,103.32603014152762,1900-12-11 01:24:05.986826,1900-04-14 07:49:29.004228
12,1973,22.2755834995204,501271893.203608,10.1160008185947,227642381.717874,3.9098585427356336,2.5873060899837,10161748160.6546,2.867185619170396,11260982622.734472,1.1081741083013719,330.27311660094375,93.60952474355214,1900-11-27 06:33:17.274322,1900-04-04 14:37:42.937843
13,1974,21.6104531509193,493543834.268158,9.72341564226084,222065303.524663,3.849420723798884,2.52594256121349,10112484746.6901,2.7861877909291164,11154358635.766537,1.1030289578677521,331.8137365084128,95.0792408159545,1900-11-28 19:31:46.834327,1900-04-06 01:54:06.406498
14,1975,21.7805372937209,504354460.664815,9.74363688742827,225625596.88045,3.927898676483584,2.48062327721528,10118685603.8561,2.7159398289793053,11078555528.156664,1.0948618655341285,334.28897130125586,93.17959299491356,1900-12-01 06:56:07.120429,1900-04-04 04:18:36.834761
15,1976,21.426608397267,502593239.870492,10.2767920689765,241057573.165948,4.183264810194992,2.45664392173573,10205611277.6275,2.8014247427822636,11637923791.131073,1.140346274035079,320.95533487323524,87.49147295385775,1900-11-17 22:55:40.933048,1900-03-29 11:47:43.263213
